0 <= x < 30; y0 = 61.0000 + 0.6333x; linear_interpolation
30 <= x < 60; y1 = 62.0000 + -0.6000x; linear_interpolation
60 <= x < 90; y2 = 104.0000 + 0.7000x; linear_interpolation
90 <= x < 120; y3 = 38.0000 + -0.5000x; linear_interpolation
120 <= x < 150; y4 = 124.0000 + 0.4667x; linear_interpolation
150 <= x < 180; y5 = 52.0000 + -0.2000x; linear_interpolation
180 <= x < 210; y6 = 118.0000 + 0.2333x; linear_interpolation
210 <= x < 240; y7 = 20.0000 + -0.3000x; linear_interpolation
240 <= x < 270; y8 = 146.0000 + 0.3000x; linear_interpolation
270 <= x < 300; y9 = 29.0000 + -0.2000x; linear_interpolation
300 <= x < 330; y10 = -43.0000 + -0.4000x; linear_interpolation
330 <= x < 360; y11 = 208.0000 + 0.4333x; linear_interpolation
360 <= x < 390; y12 = -66.0000 + -0.4000x; linear_interpolation
390 <= x < 420; y13 = 53.0000 + -0.0333x; linear_interpolation
420 <= x < 450; y14 = 345.0000 + 0.6667x; linear_interpolation
450 <= x < 480; y15 = 85.0000 + 0.0000x; linear_interpolation
480 <= x < 510; y16 = -219.0000 + -0.6333x; linear_interpolation
510 <= x < 540; y17 = -19.0000 + -0.1667x; linear_interpolation
540 <= x < 570; y18 = 475.0000 + 0.7667x; linear_interpolation
570 <= x < 600; y19 = -277.0000 + -0.6333x; linear_interpolation
600 <= x < 630; y20 = 85.0000 + 0.0333x; linear_interpolation
630 <= x < 660; y21 = 45.0000 + -0.0333x; linear_interpolation
660 <= x < 690; y22 = 505.0000 + 0.6667x; linear_interpolation
690 <= x < 720; y23 = 85.0000 + 0.0000x; linear_interpolation
720 <= x < 750; y24 = -371.0000 + -0.6333x; linear_interpolation
750 <= x < 780; y25 = 566.0000 + 0.6667x; linear_interpolation
780 <= x < 810; y26 = 86.0000 + 0.0000x; linear_interpolation
810 <= x < 840; y27 = 5.0000 + -0.1000x; linear_interpolation
840 <= x < 870; y28 = 167.0000 + 0.1000x; linear_interpolation
870 <= x < 900; y29 = 86.0000 + 0.0000x; linear_interpolation
900 <= x < 930; y30 = 116.0000 + 0.0333x; linear_interpolation
930 <= x < 960; y31 = 56.0000 + -0.0333x; linear_interpolation
960 <= x < 990; y32 = -74.0000 + -0.1667x; linear_interpolation
990 <= x < 1020; y33 = 213.0000 + 0.1333x; linear_interpolation
1020 <= x < 1050; y34 = -561.0000 + -0.6333x; linear_interpolation
1050 <= x < 1080; y35 = 31.0000 + -0.0333x; linear_interpolation
1080 <= x < 1110; y36 = 749.0000 + 0.6333x; linear_interpolation
1110 <= x < 1140; y37 = 84.0000 + 0.0000x; linear_interpolation
1140 <= x < 1170; y38 = 8.0000 + -0.0667x; linear_interpolation
1170 <= x < 1200; y39 = 43.0000 + -0.0333x; linear_interpolation
1200 <= x < 1230; y40 = 161.0000 + 0.0667x; linear_interpolation
1230 <= x < 1260; y41 = 124.0000 + 0.0333x; linear_interpolation
1260 <= x < 1290; y42 = 210.0000 + 0.1000x; linear_interpolation
